Location,Treatment,Genotype,image,root_name,predicted_genotype,p_assigned_label,mislabel_score
A3,FL,cax22,A3_FL_cax22_day4_1.rsml,A3_FL_cax22_4_day4,cax22,0.45989880952380957,0.5401011904761904
A5,GC,Col-0,A5_GC_Col_day4_1.rsml,A5_GC_Col_8_day4,Col-0,0.46027182539682543,0.5397281746031746
B4,FL,cax22,B4_FL_cax22_day4_3.rsml,B4_FL_cax22_10_day4,cax22,0.4613558201058199,0.5386441798941801
B3,GC,cax23,B3_GC_cax23_day4_3.rsml,B3_GC_cax23_10_day4,cax23,0.46331944444444445,0.5366805555555556
C6,GC,cax23,C6_GC_cax23_day4_5.rsml,C6_GC_cax23_3_day4,cax23,0.468149470899471,0.531850529100529
C7,GC,Col-0,C7_GC_Col_day4_5.rsml,C7_GC_Col_8_day4,Col-0,0.469654761904762,0.530345238095238
A1,FL,Col-0,A1_FL_Col_day4.rsml,Col_FL_day2_9,rbohD,0.4750820105820108,0.5249179894179892
B2,GC,rbohD,B2_GC_rbohD_day4_2.rsml,B2_GC_rbohD_9_day4,rbohD,0.4760912698412697,0.5239087301587303
B8,FL,cax22,B8_FL_cax22_day4_4.rsml,B8_FL_cax22_9_day4,cax22,0.4764821428571429,0.5235178571428571
B2,FL,rbohD,B2_FL_rbohD_day4_2.rsml,B2_FL_rbohD_4_day4,rbohD,0.47927579365079337,0.5207242063492066
C8,GC,rbohD,C8_GC_rbohD_day4_5.rsml,C8_GC_rbohD_7_day4,rbohD,0.4798240740740739,0.5201759259259261
A5,GC,Col-0,A5_GC_Col_day4_1.rsml,A5_GC_Col_7_day4,Col-0,0.48019642857142864,0.5198035714285714
C8,GC,rbohD,C8_GC_rbohD_day4_5.rsml,C8_GC_rbohD_4_day4,rbohD,0.4820376984126984,0.5179623015873016
C6,FL,cax23,C6_FL_cax23_day4_5.rsml,C6_FL_cax23_5_day4,cax23,0.4976329365079364,0.5023670634920636
B7,FL,cax23,B7_FL_cax23_day4_4.rsml,B7_FL_cax23_6_day4,cax23,0.5041845238095237,0.4958154761904763
B2,FL,rbohD,B2_FL_rbohD_day4_2.rsml,B2_FL_rbohD_8_day4,rbohD,0.5101203703703704,0.4898796296296296
C7,GC,Col-0,C7_GC_Col_day4_5.rsml,C7_GC_Col_6_day4,Col-0,0.5111150793650794,0.4888849206349206
B9,FL,Col-0,B9_FL_Col_day4_3.rsml,B9_FL_Col_1_day4,Col-0,0.5113869047619047,0.48861309523809526
C1,GC,cax23,C1_GC_cax23_day4.rsml,cax23_GC_C1_2_10,cax23,0.5175555555555555,0.48244444444444445
B6,GC,Col-0,B6_GC_Col_day4_2.rsml,B6_GC_Col_3_day4,Col-0,0.5175932539682536,0.4824067460317464
C1,GC,cax23,C1_GC_cax23_day4.rsml,cax23_GC_C1_2_4,cax23,0.5241593915343913,0.4758406084656087
A6,FL,rbohD,A6_FL_rbohD_day4_1.rsml,A6_FL_rbohD_1_day4,rbohD,0.5290833333333335,0.47091666666666654
A4,GC,cax23,A4_GC_cax23_day4_1.rsml,A4_GC_cax23_5_day4,cax23,0.5348015873015874,0.46519841269841256
C1,GC,cax23,C1_GC_cax23_day4.rsml,cax23_GC_C1_2_2,cax23,0.5367976190476188,0.4632023809523812
A5,GC,Col-0,A5_GC_Col_day4_1.rsml,A5_GC_Col_9_day4,Col-0,0.5412083333333332,0.4587916666666668
B3,FL,cax23,B3_FL_cax23_day4_3.rsml,B3_FL_cax23_8_day4,cax23,0.5469669312169313,0.4530330687830687
A6,GC,rbohD,A6_GC_rbohD_day4_1.rsml,A6_GC_arbohD_8_day4,rbohD,0.5509146825396826,0.44908531746031743
B3,FL,cax23,B3_FL_cax23_day4_3.rsml,B3_FL_cax23_10_day4,cax23,0.5580621693121693,0.44193783068783066
B9,GC,Col-0,B9_GC_Col_day4_3.rsml,B9_GC_Col_10_day4,Col-0,0.5653571428571431,0.4346428571428569
B8,FL,cax22,B8_FL_cax22_day4_4.rsml,B8_FL_cax22_10_day4,cax22,0.5758928571428571,0.4241071428571429
B4,FL,cax22,B4_FL_cax22_day4_3.rsml,B4_FL_cax22_5_day4,cax22,0.587111111111111,0.41288888888888897
C4,GC,rbohD,C4_GC_rbohD_day4_4.rsml,C4_GC_rbohD_10_day4,rbohD,0.5879007936507938,0.41209920634920616
C7,GC,Col-0,C7_GC_Col_day4_5.rsml,C7_GC_Col_3_day4,Col-0,0.5887817460317462,0.41121825396825384
C7,GC,Col-0,C7_GC_Col_day4_5.rsml,C7_GC_Col_5_day4,Col-0,0.5974074074074072,0.40259259259259284
B6,GC,Col-0,B6_GC_Col_day4_2.rsml,B6_GC_Col_10_day4,Col-0,0.6001898148148146,0.3998101851851854
A1,FL,Col-0,A1_FL_Col_day4.rsml,Col_FL_day2_8,Col-0,0.6047103174603179,0.3952896825396821
B7,FL,cax23,B7_FL_cax23_day4_4.rsml,B7_FL_cax23_2_day4,cax23,0.6148452380952378,0.38515476190476217
C7,GC,Col-0,C7_GC_Col_day4_5.rsml,C7_GC_Col_9_day4,Col-0,0.6236071428571431,0.37639285714285686
A1,GC,Col-0,A1_GC_Col_day4.rsml,Col_GC_A1_day2_2,Col-0,0.6296230158730157,0.3703769841269843
B9,GC,Col-0,B9_GC_Col_day4_3.rsml,B9_GC_Col_1_day4,Col-0,0.6427843915343915,0.3572156084656085
A4,FL,cax23,A4_FL_cax23_day4_1.rsml,A4_FL_cax23_10_day4,cax23,0.661339285714286,0.338660714285714
C3,GC,Col-0,C3_GC_Col_day4_4.rsml,C3_GC_Col_8_day4,Col-0,0.6694642857142857,0.33053571428571427
B6,FL,Col-0,B6_FL_Col_day4_2.rsml,B6_FL_Col_1_day4,Col-0,0.677023148148148,0.322976851851852
C3,GC,Col-0,C3_GC_Col_day4_4.rsml,C3_GC_Col_1_day4,Col-0,0.6885542328042324,0.31144576719576755
B6,GC,Col-0,B6_GC_Col_day4_2.rsml,B6_GC_Col_11_day4,Col-0,0.6923035714285716,0.3076964285714284
B4,FL,cax22,B4_FL_cax22_day4_3.rsml,B4_FL_cax22_8_day4,cax22,0.7040932539682538,0.29590674603174616
A5,GC,Col-0,A5_GC_Col_day4_1.rsml,A5_GC_Col_4_day4,Col-0,0.7235555555555555,0.2764444444444445
A5,GC,Col-0,A5_GC_Col_day4_1.rsml,A5_GC_Col_2_day4,Col-0,0.7356408730158728,0.2643591269841272
C3,GC,Col-0,C3_GC_Col_day4_4.rsml,C3_GC_Col_3_day4,Col-0,0.7513154761904759,0.2486845238095241
B9,GC,Col-0,B9_GC_Col_day4_3.rsml,B9_GC_Col_11_day4,Col-0,0.8101216931216935,0.18987830687830654
