Row-names	GCShoot_COL00-GCShoot_RBOHD___log2FoldChange	GCShoot_COL00-GCShoot_RBOHD___padj	COL00-RBOHD_shoot_APEX5_Sig
AT2G19450	0.353612596	0.028005449	Yes
AT2G19690	0.723235961	0.016943063	Yes
AT2G19760	0.439538871	0.006468402	Yes
AT2G19790	0.451206649	0.013164141	Yes
AT2G20142	1.279599927	0.048707779	Yes
AT2G20420	-0.176811364	0.024128938	Yes
AT2G20820	0.485979456	0.028990133	Yes
AT2G20860	0.375967086	0.023556275	Yes
AT2G20880	1.275745696	0.02267397	Yes
AT2G20920	0.546569308	0.028645637	Yes
AT2G20960	0.485508214	0.030356041	Yes
AT2G21060	-1.395462667	0.001129779	Yes
AT2G21100	2.322491738	0.030180396	Yes
AT2G21185	0.866118193	0.006087205	Yes
AT2G21187	1.012409817	0.001198281	Yes
AT2G21195	0.721221367	0.00052399	Yes
AT2G21470	-0.188073569	0.022018201	Yes
AT2G22250	-0.413708318	0.032301404	Yes
AT2G22450	0.479858291	0.011011763	Yes
AT2G22540	0.35361706	0.035408454	Yes
AT2G22610	-0.736615178	0.036764459	Yes
AT2G23050	-1.513859457	0.024088322	Yes
AT2G23120	0.88376137	0.00038333	Yes
AT2G23170	-1.068227225	0.003356429	Yes
AT2G23360	-0.448940649	0.014310584	Yes
AT2G23890	-0.301950096	0.035412097	Yes
AT2G23950	-0.682406024	0.013760032	Yes
AT2G24540	0.803831535	0.002579455	Yes
AT2G24545	0.825783145	0.002673431	Yes
AT2G24550	0.712339632	0.024482857	Yes
AT2G24610	1.441895758	0.000465765	Yes
AT2G24640	-0.299716186	0.04595841	Yes
AT2G24700	-1.282418257	0.040364603	Yes
AT2G24790	0.784778752	3.21E-10	Yes
AT2G25050	-0.298051155	0.020735144	Yes
AT2G25060	-0.684811141	0.044459861	Yes
AT2G25200	0.542286309	0.024128303	Yes
AT2G25420	-0.411310637	0.008026885	Yes
AT2G25530	-0.600359931	0.014682602	Yes
AT2G25560	-0.321234012	0.030398599	Yes
AT2G25640	-0.475260214	0.037823806	Yes
AT2G25790	-0.504758227	0.003722686	Yes
AT2G26140	-0.153084335	0.039208963	Yes
AT2G26170	-0.57425364	6.41E-05	Yes
AT2G26180	-0.60542377	0.035408454	Yes
AT2G26400	-3.220656677	0.002570016	Yes
AT2G26750	1.224217801	0.041412671	Yes
AT2G26760	-0.556112061	0.041384147	Yes
AT2G26975	0.827340123	0.048858079	Yes
AT2G27228	-0.350688243	0.008620882	Yes
AT2G27230	-0.350688243	0.008620882	Yes
AT2G27830	0.813908452	0.003928821	Yes
AT2G28190	0.497651787	0.012074868	Yes
AT2G28520	-0.184248806	0.025976008	Yes
AT2G28590	-0.857542065	0.00657599	Yes
AT2G28620	-0.631444467	0.034389759	Yes
AT2G28840	0.288280369	0.004431763	Yes
AT2G28900	0.777673461	0.00696984	Yes
AT2G29440	-1.104052797	0.007351125	Yes
AT2G29460	-2.799798976	0.000438802	Yes
AT2G29490	-1.247262938	0.001934049	Yes
AT2G29890	-0.722380824	0.00635041	Yes
AT2G30230	0.664563517	0.014500026	Yes
AT2G30480	-0.527857358	0.005545269	Yes
AT2G30750	-2.615655149	0.022515091	Yes
AT2G30930	0.894565361	0.000115199	Yes
AT2G31270	-0.537501858	0.001952647	Yes
AT2G31370	-0.196632008	0.048213054	Yes
AT2G31410	0.29876719	0.035453519	Yes
AT2G31740	-0.191803202	0.042247194	Yes
AT2G32030	1.289201586	0.014134168	Yes
AT2G32190	1.980621159	0.003124637	Yes
AT2G32200	2.111626273	0.039306131	Yes
AT2G32690	-1.513854825	0.002897493	Yes
AT2G32800	0.764242083	0.000321988	Yes
AT2G33220	0.625929501	7.67E-11	Yes
AT2G33240	-0.722062272	0.040997758	Yes
AT2G33390	0.281028868	0.048858079	Yes
AT2G33410	-0.477143095	0.012321461	Yes
AT2G33530	-0.292956101	0.038708166	Yes
AT2G33550	0.639016767	0.008162027	Yes
AT2G33710	0.821634544	0.042247194	Yes
AT2G33830	1.442549582	7.75E-05	Yes
AT2G34090	0.430166808	0.048707779	Yes
AT2G34190	-0.788523026	0.028759856	Yes
AT2G34470	0.402743021	0.011911238	Yes
AT2G34585	0.312100286	0.048821986	Yes
AT2G34590	0.38367283	0.029737223	Yes
AT2G34630	-0.250352464	0.035596887	Yes
AT2G34660	-0.311686527	0.002538894	Yes
AT2G34940	-1.262371549	0.025694456	Yes
AT2G35240	0.339801116	0.023586732	Yes
AT2G35650	0.284443518	0.00696984	Yes
