Transcript ID	rbohD_Root_baseMeanB_GC	rbohD_Root_baseMeanA_FL
AT4G15393.1	239.7252424	760.1506902
AT4G15393.2	239.9310337	762.7562597
AT4G15393.3	240.1910166	761.0129145
AT4G15920.1	640.6416109	890.786786
AT4G16990.1	25.20896493	50.83720179
AT4G16990.2	25.7225148	51.62639229
AT4G16990.3	27.47163741	53.25192965
AT4G16990.4	27.47163741	53.25192965
AT4G16990.5	27.47163741	53.25192965
AT4G17340.1	1042.718318	2654.248478
AT4G18197.1	47.29523647	116.85977
AT4G18205.1	26.46849329	69.28173472
AT4G18970.1	1.387364062	3.971802823
AT4G18970.2	1.387364062	3.778565334
AT4G21870.1	20.12347299	35.28078677
AT4G22610.1	18.03312827	76.94778408
AT4G23020.1	31.18986519	49.3565439
AT4G23020.2	32.9326171	52.82928281
AT4G23400.1	1170.941613	1898.124195
AT4G25300.1	37.94893347	57.29199837
AT4G25300.2	37.28315507	55.33885817
AT4G28410.1	159.8167124	361.5817402
AT4G28900.1	133.7373016	209.2529673
AT4G29050.1	19.26403196	31.73855401
