Entrez ID,FLRoot_COL00_1,GCRoot_COL00_1,FLRoot_COL00_2,GCRoot_COL00_2,FLRoot_COL00_3,GCRoot_COL00_3,FLRoot_COL00_4,GCRoot_COL00_4
842725,10.9498,11.4275,11.0073,11.2571,10.8633,11.0711,10.8965,11.2458
834318,6.4461,6.9947,6.7888,6.9364,7.0676,6.7966,6.895,7.0445
6241320,5.8585,5.3648,5.3311,5.1878,5.3218,5.3944,5.3472,5.5142
837090,9.1552,9.5756,9.5358,9.789,9.3301,9.516,9.2701,9.5315
842772,8.7759,9.367,9.1709,9.2383,9.0676,9.3106,8.9129,9.1825
832563,7.891,7.7604,8.01,7.544,7.5802,7.5021,7.8605,7.4959
835892,6.3347,5.8474,5.7979,5.8475,6.1759,5.909,6.164,6.148
826535,10.4354,10.2491,10.3089,10.1236,10.2489,9.8525,10.5029,10.1678
839592,12.3216,11.896,12.105,12.1302,11.8817,11.7079,12.1899,12.1456
814995,7.2275,7.0765,7.5249,7.166,7.4643,7.1212,7.2211,6.9114
816927,7.1637,7.4277,6.8587,7.1198,7.4793,7.3686,7.2132,7.3144
837242,9.4663,9.7353,9.2485,9.3392,9.0922,9.373,9.1857,9.2205
838472,10.4366,10.9065,10.7156,11.0103,10.8094,10.875,10.613,11.0125
822281,9.2062,9.6199,9.8181,9.4398,9.7194,9.4658,9.542,9.3376
3769067,7.7093,7.4525,7.1203,7.1584,7.2093,7.478,7.3493,7.2237
844204,12.2861,12.4634,12.2241,12.5676,12.1678,12.376,11.9996,12.5645
819868,6.2955,6.3202,6.5218,5.8848,6.504,6.192,6.3046,6.3673
5007841,7.0855,6.6545,7.1089,7.1276,7.126,7.2406,7.2211,7.3144
839176,9.2682,9.127,9.5591,9.06,9.4812,9.4348,9.4988,9.1109
828132,11.3006,11.415,11.5257,11.0411,11.2982,11.2172,11.3909,10.9209
5007668,10.352,10.7469,10.3997,10.4881,10.4743,10.8312,10.2452,10.3916
835763,6.2553,6.3729,6.539,6.3922,6.8308,6.2501,6.2282,6.4496
