tissue,locus,Symbol,transcript_id,flight_direction,cax22_flight_log2FC,cax23_flight_log2FC,cax23_padj
root,AT3G16250,NDF4,AT3G16250.1,up,1.1411956226272917,4.397580311,6.3e-09
shoot,AT2G35980,YLS9,AT2G35980.1,down,-2.4125352512242193,-3.61865303,0.02676172
shoot,AT2G26400,ARD3,AT2G26400.1,down,-1.9169204808549363,-2.583885216,0.031006871
shoot,AT3G24240,kinase,AT3G24240.1,up,3.9288397444807823,5.825790775,2.62e-26
shoot,AT1G12040,LRX1,AT1G12040.1,up,3.548685901573888,5.409730517,2.26e-11
shoot,AT1G23720,extensin,AT1G23720.1,up,3.502162047308106,5.696013708,1.33e-09
shoot,AT3G28550,extensin,AT3G28550.1,up,3.420456380515242,5.736177677,9.95e-12
shoot,AT1G66270,BGLU21,AT1G66270.2,up,3.347542702228751,7.410005658999999,4.5299999999999993e-23
shoot,AT5G26290,MATH,AT5G26290.1,up,3.1876093243574624,4.872941472,1.28e-14
shoot,AT4G15390,transferase,AT4G15390.1,up,3.1675783264642354,5.935166115,7.45e-12
shoot,AT1G33750,terpene synthase/cyclase,AT1G33750.1,up,3.1302245777332693,7.102619577,1.91e-18
shoot,AT1G54890,LEA,AT1G54890.1,up,3.0670872924377277,5.15115299,3.08e-06
shoot,AT1G66280,BGLU22,AT1G66280.1,up,2.941444727492812,7.151271992,2.06e-23
shoot,AT3G01260,catalytic/ isomerase,AT3G01260.1,up,2.921617412181056,5.99132368,4.5299999999999993e-23
shoot,AT3G20940,CYP705A30,AT3G20940.1,up,2.849895669924466,7.415548288,3.84e-16
shoot,AT5G10580,-,AT5G10580.1,up,2.800408611103116,4.8262919775,6.78e-22
shoot,AT5G04960,pectinesterase,AT5G04960.1,up,2.7935806004442383,6.381138654,3.28e-10
shoot,AT3G26610,pectinase,AT3G26610.1,up,2.7735327572862634,6.655271486,1.15e-20
shoot,AT1G12560,EXPA7,AT1G12560.1,up,2.753021255518411,3.776002426,1.15e-08
shoot,AT5G35190,extensin,AT5G35190.1,up,2.745765085553609,4.798788356,3.87e-08
shoot,AT3G54590,HRGP1,AT3G54590.1,up,2.71428052250971,5.067173453,8.37e-11
shoot,AT5G62340,invertase,AT5G62340.1,up,2.679667652046105,6.624961866,3.93e-15
shoot,AT5G48940,kinase,AT5G48940.1,up,2.6707442337539704,5.65374097,1.6299999999999997e-23
shoot,AT2G25980,jacalin lectin,AT2G25980.1,up,2.6531553055824113,6.1100545,3.19e-20
shoot,AT3G54580,extensin,AT3G54580.1,up,2.6068815453594025,5.46649383,2.78e-12
shoot,AT4G12550,AIR1,AT4G12550.1,up,2.5889649189570365,9.731023194,3.43e-11
shoot,AT4G15393,CYP702A5,AT4G15393.1,up,2.581642267826043,7.579455363,6.18e-08
shoot,AT5G17820,PRXR10,AT5G17820.1,up,2.5552266253120677,6.576268915,4.8e-18
shoot,AT4G12510,LTP,AT4G12510.1,up,2.537913521690343,9.113118394,1.27e-20
shoot,AT4G22235,-,AT4G22235.2,up,2.528728246919103,2.7253266425,1.83e-05
shoot,AT5G54040,DC1,AT5G54040.1,up,2.5211679795039834,2.638801687,0.002582917
shoot,AT4G28410,aminotransferase,AT4G28410.1,up,2.4959928251880164,3.724166353,4.89e-10
shoot,AT1G30550,-,AT1G30550.2,up,2.4530018501076043,6.796046097,8.79e-14
shoot,AT5G06640,extensin,AT5G06640.1,up,2.426109532821049,4.707584121,3.21e-07
shoot,AT5G63595,FLS4,AT5G63595.1,up,2.4027437883793765,2.602267293,6.26e-05
shoot,AT5G48110,terpene synthase/cyclase,AT5G48110.1,up,2.3910903595355855,7.343802648,3.1999999999999998e-24
shoot,AT2G41800,-,AT2G41800.1,up,2.3700760853946043,6.670365697,4.45e-27
shoot,AT3G25930,USP,AT3G25930.1,up,2.347161619433439,7.503652979,3.39e-09
shoot,AT5G06630,extensin,AT5G06630.1,up,2.3367584042914578,6.113852012,2.61e-08
shoot,AT5G57625,allergen V5/Tpx-1,AT5G57625.1,up,2.3276706244572045,5.509709364,3.69e-08
