Up Shoot,Down Shoot,Up Root,Down Root,Up Shoot|Up Root,Up Shoot|Down Root,Down Shoot|Up Root,Down Shoot|Down Root
,AT1G06135.1,AT2G01530.1,AT4G00670.1,,,,
,AT5G64905.1,AT4G12800.1,AT4G25850.1,,,,
,AT4G22030.1,AT2G34000.1,AT1G75160.1,,,,
,AT3G62170.1,AT2G16380.1,AT1G50400.1,,,,
,AT2G07630.1,AT1G34520.1,AT1G75290.1,,,,
,AT1G18860.1,AT4G05180.1,AT4G36280.1,,,,
,AT3G45990.1,AT1G76620.1,AT2G27389.1,,,,
,AT1G53870.1,AT2G22980.4,AT4G25400.1,,,,
,AT3G61720.1,AT2G22980.3,AT3G26960.1,,,,
,AT4G09745.1,AT2G22980.1,AT1G05240.1,,,,
,AT2G46130.1,AT2G22980.2,AT3G06490.1,,,,
,AT2G46130.2,AT1G76370.1,AT4G20930.1,,,,
,AT1G77950.1,AT3G46800.1,AT2G28710.1,,,,
,AT5G66430.1,AT5G02000.1,AT3G04030.1,,,,
,AT2G30290.1,AT1G68040.1,AT3G21351.1,,,,
,AT2G21910.1,AT2G23010.1,AT1G11460.1,,,,
,AT2G01560.1,AT2G23010.2,AT5G22390.1,,,,
,AT2G14245.1,AT2G39380.1,AT1G72680.1,,,,
,AT2G30290.2,AT5G42580.1,AT3G04030.3,,,,
,AT1G13608.1,AT4G36220.1,AT2G35990.1,,,,
,AT1G27570.1,AT3G03230.1,AT3G04030.2,,,,
,AT1G27570.2,AT1G12110.1,AT4G03960.1,,,,
,AT4G05280.1,AT2G02300.1,AT2G28570.1,,,,
,AT1G74140.1,AT3G47250.1,AT5G14650.1,,,,
,AT1G74140.2,AT4G15620.1,AT2G38250.1,,,,
,AT1G74140.3,AT1G52230.1,AT1G76430.1,,,,
,AT1G74140.4,AT3G48740.1,AT3G22370.1,,,,
,AT1G74140.5,AT1G65490.1,AT5G18470.1,,,,
,AT1G36640.1,AT3G32377.1,AT5G41750.2,,,,
,AT1G13607.1,AT2G22950.1,AT1G01453.2,,,,
,AT1G69650.1,AT3G47250.3,AT2G46660.1,,,,
,AT3G28955.1,AT1G49370.1,AT5G59540.2,,,,
,AT3G21791.1,AT4G02190.1,AT5G49630.1,,,,
,AT4G14250.1,AT2G03310.1,AT5G42146.1,,,,
,AT4G14250.2,AT1G22590.2,AT1G54970.1,,,,
,AT1G36605.1,AT4G18197.1,AT4G02330.1,,,,
,AT2G07635.1,AT5G63160.1,AT3G07720.1,,,,
,AT3G54800.1,AT2G36690.1,AT1G23380.2,,,,
,AT3G54800.2,AT3G47250.2,AT5G12330.1,,,,
,AT2G46460.1,AT3G28070.1,AT1G23380.1,,,,
,AT1G28630.5,AT1G14930.1,AT3G47740.1,,,,
,AT3G61826.1,AT3G04330.1,AT5G44578.1,,,,
,AT3G61825.1,AT2G22122.1,AT5G45350.1,,,,
,AT3G61962.1,AT3G45280.1,AT3G01950.1,,,,
,AT3G62097.1,AT5G47560.1,AT3G21780.1,,,,
,AT3G61827.1,AT4G21445.1,AT5G48050.1,,,,
,AT1G13605.1,AT4G28870.1,AT3G04720.1,,,,
,AT1G26990.1,AT2G14095.1,AT2G40910.2,,,,
,AT1G51300.1,AT4G28750.1,AT1G59730.1,,,,
,AT2G25230.1,AT2G45180.1,AT5G59540.1,,,,
,AT1G28630.2,AT2G28990.1,AT4G08620.1,,,,
,AT1G28630.3,AT4G39675.1,AT1G52560.1,,,,
,AT3G61545.1,AT1G66860.1,AT1G07400.1,,,,
,AT3G61829.1,AT1G75460.1,AT1G52560.2,,,,
,AT3G29725.1,AT2G03710.2,AT5G12330.2,,,,
,AT3G61715.1,AT2G15020.1,AT1G33610.1,,,,
,AT2G07640.1,AT2G17780.4,AT3G50770.1,,,,
,AT1G28630.1,AT5G09700.1,AT1G77860.1,,,,
,AT3G05450.1,AT3G52970.2,AT1G08165.1,,,,
,AT2G46860.1,AT4G13494.1,AT5G37980.1,,,,
,AT5G50680.1,AT2G03710.1,AT4G37420.1,,,,
,AT5G50680.2,AT3G52970.1,AT3G56770.2,,,,
,AT1G28630.4,AT1G75940.1,AT1G01453.1,,,,
,AT3G61721.1,AT4G29905.1,AT2G40910.1,,,,
,AT3G61723.1,AT1G13080.1,AT3G01670.1,,,,
,AT2G04290.1,AT3G20380.1,AT5G58120.1,,,,
,AT1G73000.1,AT1G71050.1,AT4G23680.1,,,,
,AT2G07560.1,AT1G13080.2,AT5G12330.3,,,,
,AT3G61510.1,AT1G06090.1,AT4G34380.1,,,,
,,AT1G53990.1,AT5G13750.2,,,,
,,AT2G25890.1,AT3G20530.1,,,,
,,AT2G03710.3,AT3G12580.1,,,,
,,AT2G41342.1,AT2G16050.1,,,,
,,AT3G29190.1,AT1G49750.1,,,,
,,AT2G21655.1,AT5G41750.1,,,,
,,AT5G27807.1,AT3G09390.1,,,,
,,AT4G33120.1,AT2G43880.1,,,,
,,AT5G36220.1,AT3G42047.1,,,,
,,AT5G04200.1,AT1G79430.1,,,,
,,AT5G11610.2,AT4G31520.1,,,,
,,AT1G49100.1,AT5G49660.1,,,,
,,AT3G13435.1,AT1G29730.1,,,,
,,AT2G34960.1,AT2G34810.1,,,,
,,AT5G11610.1,AT5G21120.1,,,,
,,AT1G52050.1,AT5G45095.1,,,,
,,AT5G55055.1,AT1G79430.2,,,,
,,AT4G10830.1,AT2G26040.1,,,,
,,AT2G23130.2,AT2G02100.1,,,,
,,AT3G47040.1,AT1G05560.1,,,,
,,AT5G24040.1,AT4G13390.1,,,,
,,AT2G39010.1,AT5G41290.1,,,,
,,AT1G60050.1,AT2G10440.1,,,,
,,AT2G23130.1,AT5G02020.2,,,,
,,AT3G46810.1,AT3G16330.1,,,,
,,AT1G51750.1,AT1G05562.1,,,,
,,AT2G13910.1,AT1G23500.1,,,,
,,AT3G10870.1,AT5G01790.1,,,,
,,AT1G78160.1,AT1G26700.1,,,,
,,AT2G03600.1,AT4G01535.1,,,,
,,AT3G16250.1,AT4G15660.1,,,,
,,AT3G22740.1,AT4G01600.2,,,,
,,AT5G36870.1,AT4G01600.1,,,,
,,AT5G56510.1,AT5G13750.1,,,,
,,AT1G29500.1,AT5G13750.3,,,,
,,AT4G18660.1,AT4G02810.1,,,,
,,AT4G22460.1,AT5G20830.1,,,,
,,AT5G62420.1,AT5G20830.2,,,,
,,AT5G27200.1,AT5G01600.1,,,,
,,AT2G41850.1,AT3G12520.1,,,,
,,AT1G53940.1,AT2G02000.1,,,,
,,AT5G15180.1,AT2G16586.1,,,,
,,ATMG01250.1,AT1G21890.1,,,,
,,AT2G29090.1,AT1G78060.1,,,,
,,AT2G29090.2,AT3G12520.2,,,,
,,AT4G28530.2,AT5G43300.1,,,,
,,AT1G62262.1,AT5G02020.1,,,,
,,ATMG01190.1,AT3G23150.1,,,,
,,AT5G62330.1,AT2G41100.3,,,,
,,AT2G21020.1,AT4G15550.1,,,,
,,AT5G24410.1,AT3G52810.1,,,,
,,AT3G06880.2,AT3G56780.1,,,,
,,AT3G06880.1,AT4G16690.1,,,,
,,AT4G40065.1,AT1G68390.1,,,,
,,AT2G03600.2,AT4G35190.1,,,,
,,AT5G47000.1,AT4G34530.1,,,,
,,AT3G46710.1,AT2G31180.1,,,,
,,AT1G77990.1,AT2G41100.1,,,,
,,AT5G44680.1,AT2G41100.4,,,,
,,AT1G77760.1,AT2G23060.2,,,,
,,AT4G15330.1,AT5G19440.1,,,,
,,AT5G28627.1,AT2G44080.1,,,,
,,AT1G77992.1,AT5G25230.1,,,,
,,AT3G46850.1,AT4G19050.1,,,,
,,AT4G28530.1,AT3G08700.1,,,,
,,AT5G54270.1,AT4G33420.1,,,,
,,AT4G27400.1,AT5G64240.1,,,,
,,AT4G12470.1,AT2G34610.1,,,,
,,AT4G38860.1,AT5G56080.1,,,,
,,AT5G24070.1,AT3G03660.2,,,,
,,AT5G24040.2,AT5G03840.1,,,,
,,AT1G63360.1,AT1G45140.1,,,,
,,AT2G03600.3,AT4G34131.1,,,,
,,AT1G30220.1,AT1G06830.1,,,,
,,AT1G25425.1,AT2G04038.1,,,,
,,AT5G06690.1,AT5G52640.1,,,,
,,AT1G21500.1,AT5G64240.2,,,,
,,AT5G48575.1,AT2G10440.2,,,,
,,AT5G23660.1,AT4G01430.2,,,,
,,AT1G71920.2,AT2G25737.1,,,,
,,AT4G22410.1,AT5G14070.1,,,,
,,AT5G06690.2,AT2G34850.1,,,,
,,AT1G71920.1,AT2G41100.2,,,,
,,AT1G71920.3,AT5G50130.1,,,,
,,AT5G25470.2,AT2G05441.1,,,,
,,AT5G53700.1,AT3G44290.1,,,,
,,AT1G33135.1,AT1G25530.1,,,,
,,AT3G04110.1,AT5G59220.1,,,,
,,AT3G53840.1,AT5G50130.2,,,,
,,AT1G14150.2,AT1G06080.1,,,,
,,AT5G39000.1,AT5G09976.1,,,,
,,AT4G31875.1,AT5G38383.1,,,,
,,AT4G28410.1,AT5G09220.1,,,,
,,AT1G12900.4,AT4G01430.1,,,,
,,AT4G37340.1,AT5G57350.1,,,,
,,AT5G54190.1,AT5G57350.2,,,,
,,AT1G12900.2,AT2G29420.1,,,,
,,AT1G12900.3,AT3G26170.1,,,,
,,AT1G44050.1,AT3G03660.1,,,,
,,AT5G55110.1,AT5G41380.1,,,,
,,AT1G12900.1,AT1G01190.1,,,,
,,AT3G58190.1,AT4G16000.1,,,,
,,AT4G37850.1,AT5G07860.1,,,,
,,AT2G18140.1,AT3G01730.1,,,,
,,AT1G08380.1,AT1G60740.1,,,,
,,AT1G67090.1,AT4G01380.1,,,,
,,AT1G67090.2,AT1G33612.1,,,,
,,AT3G02100.1,AT4G20690.1,,,,
,,AT4G21250.1,AT4G19840.1,,,,
,,AT3G46270.1,AT3G21520.1,,,,
,,AT4G38970.1,AT2G46950.1,,,,
,,AT4G38970.2,AT4G08570.1,,,,
,,AT1G20020.1,AT5G02600.1,,,,
,,AT1G20020.2,AT1G14490.1,,,,
,,AT1G20020.3,AT5G48180.1,,,,
,,AT2G20070.1,AT4G27190.1,,,,
,,AT5G59100.1,AT3G28210.1,,,,
,,AT5G54790.1,AT2G28210.1,,,,
,,AT5G54190.2,AT4G32500.1,,,,
,,AT2G16005.1,AT2G31945.1,,,,
,,AT5G51210.1,AT3G62990.1,,,,
,,AT5G09978.1,AT2G43500.1,,,,
,,AT5G06900.1,AT2G43500.2,,,,
,,AT5G54370.1,AT5G37490.1,,,,
,,AT1G55670.1,AT1G11450.1,,,,
,,AT1G49975.1,AT4G00890.1,,,,
,,AT2G03600.4,AT4G15670.1,,,,
,,AT2G03600.5,AT1G30190.1,,,,
,,AT2G32530.1,AT1G73630.1,,,,
,,AT4G25560.1,AT5G50160.1,,,,
,,AT4G13890.1,AT1G11450.2,,,,
,,AT3G29635.1,AT1G53640.1,,,,
,,AT5G53100.1,AT5G38940.1,,,,
,,AT5G43770.1,AT3G61210.1,,,,
,,AT2G04510.1,AT3G61880.1,,,,
,,AT1G04350.1,AT2G37760.3,,,,
,,AT3G16140.1,AT2G37760.2,,,,
,,AT3G05727.1,AT2G37760.4,,,,
,,AT1G32060.1,AT2G37760.1,,,,
,,AT1G21100.1,AT2G37760.5,,,,
,,AT2G05995.1,AT3G53980.2,,,,
,,AT5G07650.1,AT2G38600.1,,,,
,,AT1G76420.1,AT5G02600.2,,,,
,,AT5G43290.1,AT2G47050.1,,,,
,,AT5G42590.1,AT3G53980.1,,,,
,,AT2G25735.1,AT1G62530.1,,,,
,,AT2G44010.1,AT3G05620.1,,,,
,,AT3G54050.2,AT3G01680.1,,,,
,,AT4G38830.1,AT3G62960.1,,,,
,,AT3G48344.1,AT1G76800.1,,,,
,,AT5G33355.1,AT3G61880.2,,,,
,,AT2G21210.1,AT3G25572.1,,,,
,,AT3G54050.1,AT3G25570.1,,,,
,,AT3G30393.1,AT2G23060.1,,,,
,,AT5G25470.1,AT5G07200.1,,,,
,,AT1G66800.1,AT3G09680.1,,,,
,,AT5G03570.1,AT3G25570.2,,,,
,,AT2G18550.1,AT2G40180.1,,,,
,,AT2G18300.1,AT2G47710.1,,,,
,,AT2G18300.2,AT2G23960.1,,,,
,,AT5G04530.1,AT4G12890.1,,,,
,,AT2G33810.1,AT2G43610.1,,,,
,,AT5G03570.2,AT4G20240.1,,,,
,,AT2G35710.3,AT1G19320.1,,,,
,,AT5G47950.1,AT5G43590.1,,,,
,,AT5G20690.1,AT2G29480.1,,,,
,,AT3G02850.1,AT5G58170.1,,,,
,,AT1G76220.1,AT3G58740.1,,,,
,,AT1G73290.1,AT3G05858.1,,,,
,,AT2G18300.3,AT3G23240.1,,,,
,,AT3G07005.1,AT4G01970.1,,,,
,,AT5G50570.2,AT1G76470.1,,,,
,,AT5G56860.1,AT4G23550.1,,,,
,,AT3G14850.1,AT1G71890.1,,,,
,,AT1G49860.1,AT4G24860.1,,,,
,,AT5G13730.1,AT1G76410.1,,,,
,,AT2G46480.1,AT5G22090.2,,,,
,,AT4G13620.1,AT5G22090.1,,,,
,,AT1G73270.1,AT5G39760.1,,,,
,,AT1G62510.1,AT5G40800.1,,,,
,,AT2G35910.1,AT3G01080.1,,,,
,,AT4G04840.1,AT1G62530.2,,,,
,,AT1G70680.1,AT2G05440.6,,,,
,,AT1G11530.1,AT2G05440.8,,,,
,,AT1G80380.3,AT2G05440.5,,,,
,,AT1G80380.1,AT2G05440.2,,,,
,,AT4G27170.1,AT2G05440.7,,,,
,,AT1G80380.2,AT2G05440.1,,,,
,,AT5G56100.1,AT2G05440.3,,,,
,,AT2G33815.1,AT1G52342.1,,,,
,,AT4G15740.1,AT2G05440.4,,,,
,,AT1G31885.1,AT5G64060.1,,,,
,,AT1G80380.4,AT4G27210.1,,,,
,,AT1G43590.1,AT5G17760.2,,,,
,,AT5G28145.1,AT2G31210.1,,,,
,,AT3G61470.1,AT4G16015.1,,,,
,,ATMG00020.1,AT5G02370.1,,,,
,,AT4G23400.1,AT4G33550.1,,,,
,,AT3G22250.1,AT2G19060.1,,,,
,,AT1G20180.1,AT1G02530.1,,,,
,,AT5G53490.1,AT5G17760.1,,,,
,,AT5G53490.2,AT5G39030.1,,,,
,,AT5G53490.3,AT5G08790.1,,,,
,,AT3G14260.1,AT1G09930.1,,,,
,,AT1G67148.1,AT5G40000.1,,,,
,,AT2G07815.1,AT3G62725.1,,,,
,,AT5G52780.1,AT4G10010.1,,,,
,,AT1G72620.1,AT5G46130.1,,,,
,,AT2G18260.1,AT2G47190.1,,,,
,,AT4G28900.1,AT4G15300.1,,,,
,,AT2G04440.1,AT1G18871.1,,,,
,,AT1G70860.1,AT1G47960.1,,,,
,,AT2G34420.1,AT5G13790.1,,,,
,,AT1G14520.1,AT4G03540.1,,,,
,,AT2G43220.1,AT3G45060.1,,,,
,,AT1G18280.1,AT3G22550.1,,,,
,,AT3G26740.1,AT2G24000.1,,,,
,,AT1G14520.2,AT5G10140.4,,,,
,,AT5G18661.1,AT3G51860.1,,,,
,,AT1G30140.1,AT5G38386.1,,,,
,,AT1G35350.1,AT1G33102.1,,,,
,,AT5G59270.1,AT3G21600.2,,,,
,,AT4G00165.2,AT3G21600.1,,,,
,,AT1G47600.1,AT2G02120.1,,,,
,,AT1G47600.2,AT1G56250.1,,,,
,,AT1G13245.1,AT2G46630.1,,,,
,,AT2G31540.1,AT4G15690.1,,,,
,,AT4G29450.1,AT2G18050.2,,,,
,,AT3G08940.1,AT2G03850.1,,,,
,,AT4G25430.1,AT4G14060.1,,,,
,,AT3G50710.1,AT4G33550.2,,,,
,,AT4G15400.1,AT5G42610.1,,,,
,,AT1G73340.1,AT3G10720.2,,,,
,,AT1G50060.1,AT1G76520.1,,,,
,,AT2G31585.2,AT2G18050.1,,,,
,,AT5G13485.1,AT1G76520.2,,,,
,,AT2G31585.1,AT4G22640.1,,,,
,,AT3G44755.1,AT3G02480.1,,,,
,,AT1G16905.1,AT1G78320.1,,,,
,,AT3G08940.2,AT1G63057.1,,,,
,,AT4G23280.1,AT4G10265.1,,,,
,,AT1G03130.1,AT1G53130.1,,,,
,,AT4G28850.1,AT5G10140.1,,,,
,,AT4G25830.1,AT5G10140.2,,,,
,,AT5G28715.1,AT5G24600.1,,,,
,,AT3G59730.1,AT2G39980.1,,,,
,,AT5G24775.1,AT5G24600.2,,,,
,,AT1G18730.2,AT1G63055.1,,,,
,,AT1G18730.1,AT1G04330.1,,,,
,,AT4G18550.1,AT4G28350.1,,,,
,,AT1G18730.3,AT2G41230.1,,,,
,,AT5G22580.1,AT3G22910.1,,,,
,,AT3G16130.1,AT5G55770.1,,,,
,,AT1G15180.1,AT1G47603.1,,,,
,,AT4G00080.1,AT5G36130.1,,,,
,,AT1G18730.4,AT1G64940.1,,,,
,,AT3G26290.1,AT3G17110.1,,,,
,,AT4G05095.1,AT3G10720.1,,,,
,,AT3G55310.1,AT4G25760.1,,,,
,,AT2G18800.1,AT2G40390.1,,,,
,,AT1G20180.2,AT5G03495.1,,,,
,,AT1G44318.1,AT1G67160.1,,,,
,,AT3G14850.2,AT1G01460.1,,,,
,,AT5G26582.1,AT1G61610.1,,,,
,,AT1G30380.1,AT1G56480.1,,,,
,,AT2G29360.1,AT5G41280.1,,,,
,,AT2G25150.1,AT4G15680.1,,,,
,,AT3G07250.1,AT2G24000.2,,,,
,,AT3G06460.1,AT1G49030.1,,,,
,,AT4G00165.1,AT4G05030.1,,,,
,,AT3G60610.1,AT4G15350.1,,,,
,,AT4G15380.1,AT5G63850.1,,,,
,,AT5G19970.1,AT1G13310.1,,,,
,,AT2G43590.1,AT1G56242.1,,,,
,,AT1G70720.1,AT2G41231.2,,,,
,,AT2G07721.1,AT2G18328.1,,,,
,,AT3G44705.1,AT3G01600.1,,,,
,,AT5G62165.5,AT3G59900.1,,,,
,,AT5G25140.1,AT5G15380.1,,,,
,,AT3G23760.1,AT2G36970.1,,,,
,,AT2G44920.2,AT3G01970.1,,,,
,,AT1G54740.1,AT3G18450.1,,,,
,,AT1G29180.1,AT5G61470.1,,,,
,,AT3G10320.1,AT5G53820.1,,,,
,,AT4G37700.1,AT5G39130.1,,,,
,,AT3G03500.1,AT1G64660.1,,,,
,,AT3G46500.1,AT3G29670.1,,,,
,,AT2G20170.1,AT1G63750.1,,,,
,,AT5G03550.1,AT4G07940.1,,,,
,,AT2G44920.1,AT3G15990.1,,,,
,,AT5G62165.3,AT1G63750.2,,,,
,,AT5G62165.2,AT2G41231.1,,,,
,,AT4G34930.1,AT4G00780.1,,,,
,,AT1G06120.1,AT3G55650.1,,,,
,,AT5G62165.4,AT4G13992.1,,,,
,,AT1G11190.1,AT5G24570.1,,,,
,,AT2G28970.1,AT5G02380.1,,,,
,,AT3G01550.1,AT1G53630.1,,,,
,,AT4G16050.1,AT3G25620.2,,,,
,,AT5G50190.1,AT5G36140.1,,,,
,,AT1G74930.1,AT1G12130.1,,,,
,,AT5G62165.1,AT1G63750.3,,,,
,,AT2G05180.1,AT5G39610.1,,,,
,,AT1G27020.1,AT2G15220.1,,,,
,,AT1G12070.1,AT5G27600.1,,,,
,,AT3G32047.1,AT1G64370.1,,,,
,,AT5G39020.1,AT1G11145.1,,,,
,,AT4G10350.1,AT2G45570.1,,,,
,,AT2G22200.1,AT3G08040.1,,,,
,,AT3G45440.1,AT3G25620.1,,,,
,,AT3G59720.1,AT2G48090.1,,,,
,,AT1G78520.1,AT3G11350.1,,,,
,,AT3G05936.1,AT3G08040.2,,,,
,,AT2G31030.1,AT2G21900.1,,,,
,,AT2G37130.1,AT4G07960.1,,,,
,,AT3G60520.1,AT1G63057.2,,,,
,,AT1G29179.1,AT2G27300.1,,,,
,,AT4G22214.1,AT1G60720.1,,,,
,,AT5G46260.1,AT1G07885.1,,,,
,,AT4G04972.1,AT5G24160.1,,,,
,,AT4G23271.1,AT4G15320.1,,,,
,,AT3G48200.1,AT2G25482.1,,,,
,,AT3G19320.1,AT4G17660.1,,,,
,,AT1G61520.3,AT5G61740.1,,,,
,,AT1G61520.2,AT5G45990.1,,,,
,,AT4G09420.1,AT1G56240.1,,,,
,,AT1G26820.1,AT1G77120.1,,,,
,,AT1G09310.1,AT2G27390.1,,,,
,,AT1G56540.1,AT5G49130.1,,,,
,,AT3G45130.1,AT5G09730.1,,,,
,,AT5G60660.1,AT5G26250.1,,,,
,,AT5G38990.1,AT3G25260.1,,,,
,,AT3G48360.1,AT4G29770.1,,,,
,,AT1G61520.1,AT1G72900.1,,,,
,,AT4G21870.1,AT2G33020.1,,,,
,,AT1G15180.2,AT1G51090.1,,,,
,,AT2G21200.1,AT5G20710.1,,,,
,,AT3G22570.1,AT1G75830.1,,,,
,,AT1G43140.1,AT2G33710.2,,,,
,,AT4G12430.1,AT5G49138.1,,,,
,,AT4G12432.1,AT4G21680.1,,,,
,,AT2G14100.1,AT1G21140.1,,,,
,,AT1G33320.1,AT1G26250.1,,,,
,,AT1G32540.1,AT5G51440.1,,,,
,,AT1G78460.1,AT4G33720.1,,,,
,,AT5G46490.1,AT4G25010.1,,,,
,,AT5G06330.1,AT3G26230.1,,,,
,,AT2G37130.2,AT1G20990.1,,,,
,,AT5G49770.1,AT4G09110.1,,,,
,,AT3G48420.1,AT5G57123.1,,,,
,,AT5G65320.1,AT5G44120.1,,,,
,,AT1G32540.2,AT2G33710.1,,,,
,,AT1G34044.1,AT3G30725.1,,,,
,,AT2G35370.1,AT5G44120.2,,,,
,,AT3G14225.1,AT5G44120.3,,,,
,,AT5G66490.1,AT3G04721.1,,,,
,,AT5G01050.1,AT4G29770.2,,,,
,,AT5G27930.1,AT3G47510.1,,,,
,,AT3G09290.1,AT2G16740.1,,,,
,,AT3G13760.1,AT3G25730.1,,,,
,,AT5G27930.2,AT5G42230.1,,,,
,,AT1G29930.1,AT5G20820.1,,,,
,,AT4G00070.1,AT3G59190.1,,,,
,,AT3G13437.1,AT1G50090.1,,,,
,,AT5G01250.1,AT2G23170.1,,,,
,,AT5G46490.2,AT2G29110.1,,,,
,,ATCG00490.1,AT4G01870.1,,,,
,,AT1G27480.1,AT3G13280.1,,,,
,,AT1G70860.2,AT4G33930.1,,,,
,,AT3G43890.1,AT1G51420.1,,,,
,,AT1G31330.1,AT4G01630.1,,,,
,,AT1G72220.1,AT3G46340.1,,,,
,,AT3G48340.1,AT1G28170.1,,,,
,,AT1G35186.1,AT1G71520.1,,,,
,,AT4G27740.1,AT5G36670.1,,,,
,,AT2G29995.1,AT4G11310.1,,,,
,,AT1G70260.1,AT5G16530.1,,,,
,,AT3G61700.1,AT3G58150.1,,,,
,,AT2G01180.1,AT2G39400.1,,,,
,,AT3G19800.1,AT5G67060.1,,,,
,,AT3G19800.2,AT4G13260.1,,,,
,,AT3G61700.2,AT2G27270.1,,,,
,,AT3G51910.1,AT4G01390.1,,,,
,,AT1G14280.1,AT1G60750.1,,,,
,,AT3G12977.1,AT1G57800.1,,,,
,,AT3G47470.1,AT5G45530.1,,,,
,,AT5G35940.1,AT5G39100.1,,,,
,,AT1G60190.1,AT1G19530.1,,,,
,,AT2G07756.1,AT3G28600.1,,,,
,,AT2G07809.1,AT2G46495.1,,,,
,,AT3G23800.1,AT2G32860.2,,,,
,,AT1G65486.1,AT3G01705.1,,,,
,,AT4G01890.1,AT1G48800.1,,,,
,,AT2G01180.2,AT2G32487.1,,,,
,,AT3G26300.1,AT5G58460.1,,,,
,,AT1G64210.1,AT2G32860.1,,,,
,,AT2G05310.1,AT3G25190.1,,,,
,,AT2G12385.1,AT1G67100.1,,,,
,,AT1G21210.1,AT1G17170.1,,,,
,,AT1G12080.1,AT5G14565.1,,,,
,,AT5G41050.1,AT5G21110.1,,,,
,,AT5G64260.1,AT5G51500.1,,,,
,,AT2G17055.1,AT4G15700.1,,,,
,,AT5G42655.1,AT4G23250.1,,,,
,,AT5G11570.1,AT5G43175.1,,,,
,,AT5G40060.1,AT5G36150.1,,,,
,,AT5G19190.1,AT3G50610.1,,,,
,,AT1G12080.2,AT5G14570.1,,,,
,,AT4G27710.1,AT3G21352.1,,,,
,,AT1G65486.2,AT3G28917.1,,,,
,,AT2G37180.1,AT5G04380.1,,,,
,,AT1G10220.1,AT1G53610.1,,,,
,,AT2G44110.1,AT1G03880.1,,,,
,,AT1G32540.3,AT4G12735.1,,,,
,,AT4G18422.1,AT1G11080.2,,,,
,,AT5G48320.1,AT1G11080.1,,,,
,,AT4G12690.1,AT2G27550.1,,,,
,,AT1G57570.1,AT1G61130.1,,,,
,,AT1G20840.1,AT1G07985.1,,,,
,,AT4G05200.1,AT1G71200.1,,,,
,,AT4G12690.2,AT1G19960.1,,,,
,,AT2G29320.1,AT1G15620.1,,,,
,,AT2G37170.1,AT5G16970.1,,,,
,,AT1G50530.1,AT2G25095.1,,,,
,,AT2G07772.1,AT4G14020.1,,,,
,,AT2G35000.1,AT1G54575.1,,,,
,,AT2G44110.2,AT1G20500.1,,,,
,,AT2G37740.1,AT5G06760.1,,,,
,,AT5G26200.1,AT5G60770.1,,,,
,,AT2G07718.1,AT1G25155.1,,,,
,,AT3G16240.1,AT1G33570.1,,,,
,,AT4G36870.2,AT1G61710.1,,,,
,,AT2G01880.1,AT3G26820.1,,,,
,,AT1G02810.1,AT5G44565.1,,,,
,,AT1G30270.1,AT4G24040.1,,,,
,,AT3G57920.1,AT1G29740.1,,,,
,,AT5G25120.1,AT2G17040.1,,,,
,,AT5G23870.2,AT1G48590.2,,,,
,,AT2G28560.1,AT4G34470.1,,,,
,,AT5G56970.1,AT1G75490.1,,,,
,,ATMG01080.1,AT2G44070.1,,,,
,,AT2G07752.1,AT5G49690.1,,,,
,,AT1G72870.1,AT5G60250.1,,,,
,,AT5G43540.1,AT3G18470.1,,,,
,,AT2G38750.1,AT5G40360.1,,,,
,,AT3G06640.1,AT3G43190.1,,,,
,,AT2G07778.1,AT5G46610.3,,,,
,,AT4G36870.1,AT1G78340.1,,,,
,,AT2G30900.1,AT5G25615.1,,,,
,,AT2G07753.1,AT4G33560.1,,,,
,,AT2G23620.1,AT5G66780.1,,,,
,,AT2G36830.1,AT3G23230.1,,,,
,,AT5G23870.1,AT1G66783.1,,,,
,,AT3G45710.1,AT4G01060.2,,,,
,,AT5G23870.3,AT4G01780.1,,,,
,,AT3G47220.1,AT4G01060.3,,,,
,,AT2G07768.1,AT1G14110.1,,,,
,,AT5G26730.1,AT2G36985.1,,,,
,,AT4G08300.1,AT4G01060.1,,,,
,,AT2G07686.1,AT5G41755.1,,,,
,,AT3G52820.1,AT3G05950.1,,,,
,,AT2G01770.1,AT1G21320.1,,,,
,,AT2G07683.1,AT1G35310.1,,,,
,,AT2G28560.4,AT4G04710.1,,,,
,,AT3G50280.1,AT1G60470.1,,,,
,,AT5G57810.1,AT2G37900.1,,,,
,,AT4G30180.1,AT5G15360.1,,,,
,,AT2G42250.1,AT3G11870.1,,,,
,,AT1G52820.1,AT3G60328.1,,,,
,,AT2G07769.1,AT5G37970.1,,,,
,,AT2G13550.1,AT2G24720.1,,,,
,,AT2G07746.1,AT3G47420.1,,,,
,,AT3G17510.2,AT1G64035.1,,,,
,,AT2G27402.1,AT1G59124.1,,,,
,,AT4G15290.1,AT3G12203.1,,,,
,,AT2G44170.1,AT5G22530.1,,,,
,,AT3G56000.1,AT1G58807.2,,,,
,,AT1G20340.1,AT1G25210.1,,,,
,,AT2G07748.1,AT1G25210.2,,,,
,,AT3G11150.1,AT4G16460.1,,,,
,,AT3G45650.1,AT2G05480.1,,,,
,,AT1G05575.1,AT3G16600.1,,,,
,,AT5G26010.1,AT1G68735.1,,,,
,,AT5G42180.1,AT2G38920.1,,,,
,,AT1G64680.1,AT2G38920.2,,,,
,,AT3G50820.1,AT2G19210.1,,,,
,,AT5G23750.2,AT3G44300.1,,,,
,,AT5G23750.1,AT2G38920.3,,,,
